l2_size(kb),bw(GB/s)
1241,1553.3
1242,1294.27
1243,1190.38
1244,1221.43
1245,1536.95
1246,1269.48
1247,1198.26
1248,1237.16
1249,1424.18
1250,1212.61
1251,1205.29
1252,1415.44
1253,1203.99
1254,1224.58
1255,1192.02
1256,1683.34
1257,1194.64
1258,1200.97
1259,1286.05
1260,1379.55
1261,1225.34
1262,1213.36
1263,1501.03
1264,1266.91
1265,1192.97
1266,1262.34
1267,1615.04
1268,1225.39
1269,1290.73
1270,1202.33
1271,1568.21
1272,1190.75
1273,1245.97
1274,1304.39
1275,1266.48
1276,1279.56
1277,1176.69
1278,1663.7
1279,1166.35
1280,1197.15
1281,1204.38
1282,1403.22
1283,1287.83
1284,1180.85
1285,1417.78
1286,1320.55
1287,1199.84
1288,1218.13
1289,1654.11
1290,1270.31
1291,1222.85
1292,1246.06
1293,1450.56
1294,1219.82
1295,1252.52
1296,1650.91
1297,1242.09
1298,1243.58
1299,1243.1
1300,1748.51
1301,1237.98
1302,1234.26
1303,1399.99
1304,1403.65
1305,1279.31
1306,1253.76
1307,1658.24
1308,1295.2
1309,1250.33
1310,1377.22
1311,1558.39
1312,1310.32
1313,1362.94
1314,1475.05
1315,1307.28
1316,1294.33
1317,1370.25
1318,1731.17
1319,1297.82
1320,1344.86
1321,1353.42
1322,1400.91
1323,1387.59
1324,1256.03
1325,1756.02
1326,1255.28
1327,1337.25
1328,1281.69
1329,1508.45
1330,1343.12
1331,1280.91
1332,1585.96
1333,1258.34
1334,1255.07
1335,1324.71
1336,1472.99
1337,1379.01
1338,1275.1
1339,1602.81
1340,1338.76
1341,1286.56
1342,1295.48
1343,1591.32
1344,1378.07
1345,1303.92
1346,1520.91
1347,1351.11
1348,1295.32
1349,1325.59
1350,1808.94
1351,1277.58
1352,1297.2
1353,1450.66
1354,1358.46
1355,1308.61
1356,1294.43
1357,1836.49
1358,1315.09
1359,1287.24
1360,1419.22
1361,1333.24
1362,1320.6
1363,1286.13
1364,1815.95
1365,1293.1
1366,1308.8
1367,1566.58
1368,1374.82
1369,1330.98
1370,1318.27
1371,1849.75
1372,1355.26
1373,1330.95
1374,1566.99
1375,1386.01
1376,1336.48
1377,1440.11
1378,1750.1
1379,1351.31
1380,1337.65
1381,1608.52
1382,1372.78
1383,1338.03
1384,1423.16
1385,1686.3
1386,1357.68
1387,1357.34
1388,1765.73
1389,1358.66
1390,1343.01
1391,1516.5
1392,1508.27
1393,1346.15
1394,1401.06
1395,1833.51
1396,1325.7
1397,1321.78
1398,1530.39
1399,1469.13
1400,1310.3
1401,1381.15
1402,1763.08
1403,1335.61
1404,1426.48
1405,1531.59
1406,1321.33
1407,1326.32
1408,1398.49
1409,1587.48
1410,1342.01
1411,1433.59
1412,1802.55
1413,1387.65
1414,1421.81
1415,1523.41
1416,1406.33
1417,1409.63
1418,1546.48
1419,1528.17
1420,1399.59
1421,1449.23
1422,1844.8
1423,1417.73
1424,1379.64
1425,1595.61
1426,1490.7
1427,1396.81
1428,1476.29
1429,1659.81
1430,1426.14
1431,1522.34
1432,1776.12
1433,1451.98
1434,1432.81
1435,1644.97
1436,1494.48
1437,1406.25
1438,1494.1
1439,1698.43
1440,1425.93
1441,1358.33
1442,1850.27
1443,1410.06
1444,1382.77
1445,1644.15
1446,1449.79
1447,1401.01
1448,1457.77
1449,1681.83
1450,1406.91
1451,1388.56
1452,1955.75
1453,1445.89
1454,1424.21
1455,1715.35
1456,1452.18
1457,1446.97
1458,1533.64
1459,1654.2
1460,1451.16
1461,1426.87
1462,1978.47
1463,1452.39
1464,1429.73
1465,1761.04
1466,1447.78
1467,1498.68
1468,1470.62
1469,1542.15
1470,1463.35
1471,1438.12
1472,1831.74
1473,1449.85
1474,1489.26
1475,2023.02
1476,1497.89
1477,1504.49
1478,1639.64
1479,1545.23
1480,1488.26
1481,1531.83
1482,1575.39
1483,1450.54
1484,1545.02
1485,1683.8
1486,1462.72
1487,1493.52
1488,1720.77
1489,1568.26
1490,1477.24
1491,1915.78
1492,1540.8
1493,1477.27
1494,1759.29
1495,1478.16
1496,1496.4
1497,1746.58
1498,1495.61
1499,1611.32
1500,1583.92
1501,1512.09
1502,1583.42
1503,1562.8
1504,1562.03
1505,1478.66
1506,1627.09
1507,1601.24
1508,1437.96
1509,1541.54
1510,1683.16
1511,1463.85
1512,1537.18
1513,1925.4
1514,1449
1515,1427.52
1516,1994.24
1517,1424.66
1518,1444.94
1519,1824.11
1520,1477.18
1521,1456.04
1522,1574.66
1523,1451.1
1524,1464.54
1525,1581.64
1526,1528.82
1527,1459.86
1528,1594.67
1529,1546.1
1530,1450.01
1531,1537.64
1532,1550.02
1533,1549.14
1534,1491.62
1535,1610.14
1536,1509.62
1537,1444.01
1538,1752.14
1539,1573.19
1540,1500.63
1541,1995.6
1542,1458.41
1543,1559.6
1544,1838.7
1545,1480.74
1546,1565.45
1547,1740.03
1548,1529.43
1549,1490.19
1550,1744.47
1551,1517.31
1552,1509.1
1553,1835.02
1554,1500.73
1555,1539.41
1556,1666.76
1557,1586.99
1558,1526.12
1559,1507.9
1560,1693.11
1561,1510.37
1562,1500.68
1563,1816.14
1564,1515.09
1565,1522.51
1566,1969.7
1567,1521.08
1568,1540.73
1569,2014.46
1570,1602.27
1571,1519.55
1572,1940.65
1573,1622.63
1574,1499.58
1575,1793.56
1576,1524.24
1577,1515.58
1578,1890.11
1579,1498.58
1580,1617.45
1581,1747.42
1582,1514.76
1583,1562.88
1584,1680.22
1585,1539.01
1586,1509.34
1587,1907.92
1588,1566.5
1589,1558.12
1590,1779.31
1591,1529.46
1592,1549.59
1593,1772.39
1594,1610.93
1595,1585.77
1596,1625.79
1597,1698.62
1598,1562.09
1599,1621.4
1600,1765.77
1601,1573.47
1602,1624.6
1603,1672.15
1604,1546.92
1605,1662.39
1606,1598.29
1607,1677.25
1608,1626.24
1609,1639.23
1610,1621.02
1611,1613.63
1612,1634.8
1613,1531.72
1614,1739.65
1615,1705.47
1616,1548.59
1617,1733.45
1618,1666.6
1619,1589.55
1620,1731.24
1621,1670.6
1622,1555.65
1623,1627.92
1624,1692.32
1625,1594.75
1626,1695.2
1627,1665.57
1628,1565.76
1629,1791.77
1630,1576.98
1631,1570.27
1632,1980.67
1633,1588.57
1634,1702.05
1635,1925.91
1636,1620.85
1637,1639.95
1638,1916.27
1639,1594.12
1640,1569.18
1641,2076.83
1642,1590.77
1643,1564.66
1644,2036.55
1645,1559.84
1646,1555.91
1647,2047.48
1648,1524.75
1649,1558.06
1650,1934.54
1651,1619.11
1652,1534.88
1653,1895.87
1654,1628.5
1655,1534.69
1656,1903.39
1657,1545.68
1658,1549.14
1659,2011.87
1660,1537.56
1661,1685.28
1662,1925.71
1663,1583.46
1664,1636.47
1665,1971.8
1666,1594.24
1667,1550.34
1668,2173.07
1669,1588.44
1670,1627.08
1671,2164.25
1672,1650.67
1673,1672.57
1674,2232.52
1675,1662.09
1676,1678.58
1677,2135.21
1678,1773.17
1679,1681.34
1680,2115.9
1681,1757.05
1682,1648.58
1683,2173.86
1684,1678.36
1685,1665.99
1686,2229.62
1687,1638.36
1688,1792.25
1689,2184.93
1690,1698.47
1691,1709.78
1692,2159.32
1693,1664.54
1694,1658.09
1695,2320.65
1696,1689.64
1697,1663.65
1698,2316.86
1699,1648.17
1700,1691.82
1701,2325.18
1702,1658.61
1703,1685.81
1704,2192.45
1705,1761.67
1706,1644.54
1707,2232.83
1708,1773.9
1709,1675.29
1710,2263.62
1711,1686.45
1712,1722.33
1713,2201.86
1714,1726.87
1715,1842.1
1716,2212.93
1717,1698.8
1718,1779.26
1719,2197.48
1720,1684.48
1721,1650.14
1722,2282.24
1723,1645.01
1724,1653.95
1725,2277.84
1726,1632
1727,1676.81
1728,2314.14
1729,1083.62
1730,1077.04
1731,1409.95
1732,1107.26
1733,1089.45
1734,1253.15
1735,1128.01
1736,1115.72
1737,1122.9
1738,1099.9
1739,1415.34
1740,1108.53
1741,1094.62
1742,1580.21
1743,1088.67
1744,1076
1745,1446.4
1746,1069.94
1747,1133.49
1748,1157.83
1749,1144.87
1750,1261.54
1751,1076.73
1752,1156.95
1753,1579.7
1754,1134.02
1755,1194.45
1756,1560.09
1757,1127.36
1758,1095.91
1759,1423.53
1760,1117.54
1761,1145.39
1762,1220.32
1763,1084.07
1764,1380.38
1765,1072.11
1766,1065.8
1767,1583.13
1768,1047.44
1769,1165.82
1770,1486.36
1771,1081.35
1772,1104.15
1773,1362.2
1774,1071.1
1775,1074.35
1776,1175.25
1777,1078.69
1778,1322.28
1779,1126.49
1780,1069.07
1781,1587.38
1782,1167.48
1783,1078.42
1784,1576.54
1785,1056.22
1786,1144.2
1787,1352.15
1788,1069.13
1789,1192.67
1790,1152.28
1791,1100.08
1792,1366.37
1793,1053.44
1794,1096.56
1795,1553.89
1796,1167.87
1797,1037.53
1798,1451.75
1799,1124.75
1800,1060.72
1801,1250.36
1802,1075
1803,1363.6
1804,1094.92
1805,1062.29
1806,1642.15
1807,1078.7
1808,1112.93
1809,1634.48
1810,1117.37
1811,1129.57
1812,1311.47
1813,1207.17
1814,1180.82
1815,1149.66
1816,1200.44
1817,1392.59
1818,1177.71
1819,1164.15
1820,1534.49
1821,1171.08
1822,1176.97
1823,1353.71
1824,1148.77
1825,1358.55
1826,1204.16
1827,1158.36
1828,1634.24
1829,1179.13
1830,1215.71
1831,1451.18
1832,1138.39
1833,1235.46
1834,1259.63
1835,1185.84
1836,1495.7
1837,1165.99
1838,1180.73
1839,1611.57
1840,1227.11
1841,1150.24
1842,1417.25
1843,1233.08
1844,1193.71
1845,1250.46
1846,1164.77
1847,1472.4
1848,1207.73
1849,1155.87
1850,1599.34
1851,1167.41
1852,1172.8
1853,1312
1854,1178.69
1855,1377.19
1856,1176.45
1857,1211.99
1858,1668.9
1859,1178.71
1860,1230.39
1861,1446.47
1862,1189.23
1863,1286.6
1864,1234.02
1865,1193.93
1866,1438.42
1867,1234.07
1868,1184.2
1869,1547.42
1870,1253.37
1871,1214.01
1872,1305.93
1873,1188.01
1874,1447.55
1875,1193.62
1876,1176.7
1877,1605.87
1878,1176.14
1879,1229.88
1880,1296.38
1881,1185.15
1882,1471.24
1883,1223.93
1884,1290.69
1885,1611.87
1886,1208.68
1887,1285.26
1888,1304.55
1889,1224.14
1890,1522.78
1891,1214.25
1892,1232.57
1893,1532.79
1894,1247.36
1895,1200.17
1896,1223.6
1897,1248.57
1898,1501.43
1899,1187.93
1900,1156.32
1901,1376.21
1902,1191.27
1903,1361.54
1904,1255.44
1905,1177.64
1906,1683.54
1907,1215.91
1908,1156.36
1909,1327.61
1910,1161.99
1911,1519.72
1912,1197.86
1913,1136.56
1914,1615.67
1915,1175.04
1916,1206.5
1917,1303.7
1918,1150.25
1919,1632.89
1920,1147.4
1921,1202.73
1922,1466.69
1923,1123.86
1924,1360.98
1925,1158.19
1926,1159.34
1927,1580.44
1928,1159.8
1929,1237.32
1930,1154.12
1931,1287.41
1932,1717.37
1933,1194.96
1934,1240.43
1935,1379.05
1936,1183.63
1937,1502.77
1938,1287.47
1939,1241.71
1940,1572.33
1941,1295.6
1942,1265.09
1943,1231.04
1944,1325.38
1945,1751.29
1946,1239.03
1947,1241.85
1948,1371.5
1949,1212.98
1950,1637.67
1951,1290.53
1952,1222.18
1953,1463.59
1954,1231.76
1955,1507.87
1956,1255.2
1957,1247.95
1958,1637.45
1959,1233.66
1960,1393.33
1961,1291.58
1962,1219.01
1963,1677.94
1964,1233.92
1965,1356.61
1966,1315.98
1967,1217.33
1968,1860.57
1969,1219.01
1970,1240.08
1971,1429.16
1972,1205.33
1973,1564.3
1974,1217.25
1975,1273.99
1976,1421.86
1977,1215.22
1978,1552.51
1979,1211.71
1980,1253.72
1981,1507.36
1982,1249.27
1983,1458.3
1984,1244.18
1985,1366.54
1986,1642.8
1987,1296.18
1988,1379.06
1989,1276.7
1990,1275.67
1991,1767.69
1992,1364.31
1993,1296.92
1994,1356.27
1995,1337.11
1996,1560.97
1997,1279.56
1998,1346.89
1999,1467.28
2000,1254.55
2001,1445.14
2002,1322.34
2003,1260.64
2004,1517.11
2005,1329.29
2006,1375.12
2007,1268.04
2008,1240.44
2009,1412.75
2010,1278.01
2011,1559.24
2012,1348.42
2013,1260.85
2014,1457.97
2015,1317.67
2016,1455.31
2017,1264.16
2018,1233.39
2019,1478.62
2020,1253.98
2021,1556.1
2022,1300.56
2023,1219.93
2024,1440.34
2025,1343.8
2026,1473.99
2027,1242.32
2028,1191.26
2029,1425.02
2030,1210.61
2031,1625.26
2032,1311.64
2033,1205.46
2034,1363.99
2035,1214.69
2036,1628.76
2037,1255.47
2038,1233.04
2039,1368.85
2040,1211.78
2041,1826.11
2042,1279.89
2043,1264.78
2044,1289.61
2045,1244.94
2046,1839.71
2047,1244.44
2048,1294.2
2049,1302.17
2050,1223.06
2051,1711.01
2052,1378.12
2053,1281.2
2054,1263.1
2055,1232.22
2056,1672.94
2057,1239.15
2058,1459.47
2059,1323
2060,1241.27
2061,1533
2062,1247.49
2063,1583.87
2064,1240.04
2065,1229.02
2066,1412.87
2067,1238.39
2068,1817.31
2069,1366.92
2070,1322.14
2071,1332.65
2072,1290.55
2073,1774.29
2074,1330.43
2075,1379.54
2076,1354.82
2077,1299.91
2078,1598.93
2079,1390.16
2080,1477.26
2081,1321.15
2082,1299.32
2083,1587.57
2084,1322.96
2085,1641.41
2086,1411.87
2087,1336.8
2088,1426.51
2089,1316.85
2090,1812.73
2091,1319
2092,1382
2093,1391.87
2094,1291.9
2095,1600.58
2096,1341.24
2097,1515.41
2098,1283.04
2099,1281.92
2100,1463.69
2101,1299.29
2102,1787.4
2103,1398.19
2104,1371.08
2105,1337.97
2106,1425.87
2107,1712.58
2108,1367.37
2109,1524.34
2110,1390.25
2111,1307.28
2112,1498.82
2113,1399.16
2114,1651.69
2115,1329.54
2116,1347.14
2117,1320.38
2118,1324.16
2119,1509.55
2120,1413.7
2121,1664.1
2122,1346.81
2123,1401.9
2124,1382.23
2125,1336.96
2126,1675.92
2127,1381.17
2128,1512.04
2129,1321.85
2130,1411.9
2131,1467.27
2132,1374.55
2133,1976.87
2134,1336.61
2135,1416.24
2136,1355.48
2137,1406.82
2138,1502.32
2139,1317.07
2140,1986.66
2141,1338.24
2142,1438.92
2143,1346.09
2144,1334.07
2145,1437.5
2146,1339.76
2147,1864.68
2148,1335.18
2149,1514.41
2150,1421.54
2151,1338.69
2152,1440.32
2153,1353.84
2154,1840.42
2155,1381.35
2156,1547.11
2157,1418.89
2158,1323
2159,1452.56
2160,1466.94
2161,1870.94
2162,1330.92
2163,1422.72
2164,1382.75
2165,1316.88
2166,1439.62
2167,1440.21
2168,1866.62
2169,1365.57
2170,1454.25
2171,1344.16
2172,1376.55
2173,1353.79
2174,1449.56
2175,1691.54
2176,1358.11
2177,1685.43
2178,1344.71
2179,1356.28
2180,1324.4
2181,1404.2
2182,1762.41
2183,1341.43
2184,1698.24
2185,1313.08
2186,1363.67
2187,1449.93
2188,1331.27
2189,1786.05
2190,1354.01
2191,1680.51
2192,1339.7
2193,1350.52
2194,1410.29
2195,1329.06
2196,1706.98
2197,1337.16
2198,1692.94
2199,1346.05
2200,1384.21
2201,1428.52
2202,1298.16
2203,1639.34
2204,1445.27
2205,1711.22
2206,1364.79
2207,1454.46
2208,1464.96
2209,1409.38
2210,1588.98
2211,1454.09
2212,1782.51
2213,1396.78
2214,1529.2
2215,1415.26
2216,1403.61
2217,1604.99
2218,1480.19
2219,1772.54
2220,1403.14
2221,1562.61
2222,1389.43
2223,1419.58
2224,1500.58
2225,1390.63
2226,1920.42
2227,1396.3
2228,1723.71
2229,1401.63
2230,1437.49
2231,1503.66
2232,1398.47
2233,1839.95
2234,1382.41
2235,1788.12
2236,1430.33
2237,1432.74
2238,1445.78
2239,1389.93
2240,1693.89
2241,1514.2
2242,1751.9
2243,1401.13
2244,1434.58
2245,1451.45
2246,1373.28
2247,1469.02
2248,1436.04
2249,1923.68
2250,1397.01
2251,1554.22
2252,1369.16
2253,1433.57
2254,1388
2255,1506.29
2256,1582.45
2257,1414.22
2258,2080.63
2259,1409.59
2260,1593.71
2261,1391.79
2262,1514.76
2263,1462.53
2264,1384.83
2265,1706.02
2266,1401.06
2267,1869.17
2268,1505.82
2269,1501.93
2270,1415.62
2271,1449.32
2272,1470.89
2273,1407.26
2274,1491.09
2275,1523.1
2276,1749.32
2277,1462.81
2278,1773.18
2279,1415.35
2280,1577.64
2281,1408.59
2282,1541.41
2283,1435.86
2284,1418.2
2285,1713.17
2286,1387.02
2287,2000.49
2288,1361.77
2289,1654.17
2290,1373.62
2291,1425.52
2292,1465.43
2293,1386.93
2294,1526.09
2295,1477.39
2296,1859.25
2297,1363.61
2298,1691.1
2299,1416.76
2300,1423.26
2301,1328.3
2302,1445.22
2303,1442.86
2304,1351.63
2305,1675.42
2306,1382.92
2307,1979.61
2308,1393.01
2309,1694.99
2310,1390.58
2311,1465.76
2312,1479.29
2313,1421.32
2314,1529.05
2315,1406.25
2316,1785.64
2317,1447.47
2318,1897.7
2319,1495.09
2320,1574.91
2321,1469.68
2322,1570.04
2323,1436.29
2324,1450.39
2325,1569.03
2326,1503.11
2327,1826.53
2328,1473.57
2329,2028.37
2330,1502.4
2331,1660.25
2332,1474.16
2333,1561.2
2334,1531.13
2335,1540.6
2336,1622.18
2337,1514.73
2338,1566.03
2339,1534.4
2340,1753.14
2341,1441.84
2342,1895.61
2343,1517.85
2344,1551.43
2345,1405.11
2346,1519.41
2347,1428.93
2348,1443.15
2349,1691.48
2350,1471.71
2351,1882.06
2352,1461.44
2353,1973.37
2354,1497.89
2355,1587.79
2356,1561.41
2357,1469.05
2358,1466.15
2359,1458.75
2360,1429.14
2361,1495.86
2362,1480.08
2363,1580.82
2364,1725.42
2365,1483.82
2366,2087.91
2367,1457.89
2368,1673.81
2369,1448.75
2370,1595.64
2371,1445.51
2372,1499.08
2373,1572.46
2374,1459.92
2375,1637.75
2376,1632.88
2377,1914.04
2378,1505.74
2379,1831.64
2380,1547.11
2381,1629.01
2382,1444.52
2383,1665.23
2384,1467.93
2385,1532.85
2386,1474.65
2387,1534.69
2388,1492.63
2389,1542.6
2390,1583.44
2391,1495.55
2392,1502.66
2393,1591.48
2394,1465.72
2395,1526.74
2396,1469.69
2397,1624.44
2398,1503.18
2399,1551.76
2400,1580.3
2401,1519.55
2402,1541.16
2403,1627.39
2404,1574.69
2405,1520.1
2406,1613.48
2407,1574.39
2408,1716.11
2409,1481.74
2410,2099.38
2411,1457.78
2412,1841.85
2413,1468.38
2414,1694.74
2415,1449.72
2416,1603.63
2417,1575.61
2418,1525.64
2419,1478.39
2420,1597.28
2421,1453.1
2422,1528.61
2423,1464.92
2424,1623.62
2425,1513.12
2426,1504.25
2427,1554.83
2428,1482.4
2429,1493.84
2430,1625.99
2431,1623.87
2432,1508.97
2433,1679.4
2434,1561.8
2435,1997.73
2436,1508.93
2437,1991.12
2438,1484.45
2439,1724.17
2440,1487.21
2441,1642.17
2442,1528.56
2443,1644.09
2444,1675.75
2445,1576.6
2446,1563.72
2447,1679.23
2448,1500.64
2449,1602.8
2450,1491.61
2451,1670.36
2452,1505.61
2453,1563.94
2454,1553.62
2455,1560.56
2456,1501.03
2457,1662.14
2458,1478.52
2459,1600.69
2460,1478.49
2461,1659.36
2462,1481.58
2463,1593.15
2464,1596.06
2465,1579.54
2466,1534.72
2467,1611.26
2468,1524.2
2469,1696.86
2470,1539.06
2471,1766.09
2472,1500.73
2473,1651.49
2474,1612.08
2475,1611.2
2476,1572.61
2477,1618.31
2478,1611.24
2479,1615.04
2480,1521.55
2481,1663.2
2482,1474.54
2483,1621.8
2484,1629.05
2485,1572.84
2486,1523.33
2487,1637.07
2488,1595.32
2489,1608.59
2490,1487
2491,1698.6
2492,1492.39
2493,1661.58
2494,1501.5
2495,1672.27
2496,1547.47
2497,1729.23
2498,1653.22
2499,1626.71
2500,1578.88
2501,1732.09
2502,1542.4
2503,1723.68
2504,1588.93
2505,1795.79
2506,1583.96
2507,1675.94
2508,1634.86
2509,1647.72
2510,1540.71
2511,1749.03
2512,1551.29
2513,1671.17
2514,1557.68
2515,1764.63
2516,1586.45
2517,1682.89
2518,1687.62
2519,1623.56
2520,1589.18
2521,1699.35
2522,1585.14
2523,1746.83
2524,1583.98
2525,1837.42
2526,1617.27
2527,1771.07
2528,1711.47
2529,1711.56
2530,1634.44
2531,1781.27
2532,1705.77
2533,1751.13
2534,1566.61
2535,1811.52
2536,1577.97
2537,1738.18
2538,1719.5
2539,1688.31
2540,1586.85
2541,1711.2
2542,1621.85
2543,1674.72
2544,1556.92
2545,1853.21
2546,1566.43
2547,1751.06
2548,1546.45
2549,1803.19
2550,1594.79
2551,1799.58
2552,1695.13
2553,1670.24
2554,1569.31
2555,1783.63
2556,1553.56
2557,1701.64
2558,1537.45
2559,1804.49
2560,1525.77
2561,1697.69
2562,1667.35
2563,1719.39
2564,1585.23
2565,1828.32
2566,1577.35
2567,1748.71
2568,1578.21
2569,1873.84
2570,1563.28
2571,1732.16
2572,1658
2573,1696.44
2574,1594.47
2575,1758.65
2576,1586.74
2577,1824.2
2578,1597.23
2579,1947.5
2580,1619.31
2581,1837.64
2582,1743.36
2583,1785.44
2584,1641.4
2585,1864.45
2586,1713.19
2587,1793.81
2588,1578.46
2589,1919.12
2590,1595.71
2591,1859.55
2592,1895.97
2593,2041.09
2594,1968.29
2595,2102.64
2596,2051.74
2597,2086.15
2598,1936.46
2599,2271.15
2600,1949.05
2601,2175.41
2602,1939.55
2603,2187.47
2604,1995.19
2605,2149.14
2606,2117.23
2607,2103.63
2608,1956.48
2609,2233.37
2610,1925.11
2611,2159.75
2612,1919.37
2613,2296.18
2614,1996.73
2615,2123.86
2616,2101.66
2617,2113.08
2618,1992.33
2619,2274.7
2620,1971.78
2621,2157.15
2622,1927.35
2623,2304.46
2624,1914.78
2625,2103.67
2626,2056.76
2627,2104.08
2628,1970.17
2629,2175.87
2630,1923.08
2631,2274.18
2632,1906.58
2633,2397.4
2634,1923.09
2635,2229.42
2636,2055.89
2637,2188.77
2638,2025.16
2639,2207.95
2640,2106.47
2641,2231.72
2642,1964.77
2643,2341.32
2644,1999.7
2645,2254.76
2646,2192.49
2647,2229.11
2648,2072.09
2649,2229.9
2650,2161.6
2651,2229.7
2652,2000.12
2653,2398.08
2654,2017.86
2655,2284.33
2656,2045.6
2657,2288.44
2658,2038.11
2659,2278.67
2660,2233.88
2661,2239.35
2662,2043.82
2663,2426.84
2664,2016.09
2665,2297.8
2666,1972.07
2667,2416.45
2668,2025.8
2669,2211.01
2670,2112.92
2671,2217.13
2672,2037.48
2673,2387.69
2674,1995.08
2675,2251.87
2676,1965.78
2677,2406.08
2678,1992.52
2679,2231.51
2680,2143.71
2681,2195.42
2682,2028.94
2683,2250.4
2684,2018.34
2685,2311.37
2686,1998.23
2687,2499.51
2688,2018.41
2689,2352.62
2690,2132.58
2691,2273.65
2692,2055.54
2693,2293.11
2694,2161.98
2695,2324.63
2696,2006.9
2697,2458.33
2698,2036.96
2699,2359.64
2700,2240.09
2701,2258.78
2702,2088.09
2703,2313.69
2704,2160.58
2705,2315.4
2706,2049.75
2707,2532.67
2708,2041.51
2709,2407.42
2710,2009.09
2711,2356.71
2712,2094.42
2713,2378.47
2714,2235.5
2715,2328.69
2716,2095.46
2717,2555.32
2718,2044.56
2719,2416.38
2720,2065.18
2721,2557.99
2722,2155.31
2723,2375.92
2724,2220.37
2725,2346.21
2726,2173.74
2727,2576.16
2728,2098.4
2729,2405.58
2730,2098.17
2731,2564.69
2732,2080.39
2733,2381.98
2734,2230.79
2735,2376.32
2736,2114.12
2737,2382.2
2738,2099.35
2739,2503.73
2740,2058.56
2741,2626.56
2742,2068.01
2743,2456.28
2744,2193.02
2745,2390.52
2746,2108.67
2747,2394.14
2748,2214.72
2749,2453.47
2750,2085.43
2751,2552.12
2752,2087.22
2753,2455.18
2754,2239.05
2755,2331.78
2756,2107.31
2757,2400.52
2758,2212.86
2759,2395.92
2760,2069.88
2761,2616.38
2762,2083.53
2763,2451.91
2764,2081.13
2765,2405.63
2766,2111.59
2767,2429
2768,2204.91
2769,2370.59
2770,2101.87
2771,2606.55
2772,2047.48
2773,2470.42
