offset(byte),latency(cycle)
1968,43
1972,49
1976,49
1980,49
1984,43
1988,49
1992,49
1996,49
2000,43
2004,49
2008,49
2012,49
2016,43
2020,49
2024,49
2028,49
2032,43
2036,49
2040,49
2044,49
2048,43
2052,49
2056,49
2060,49
2064,43
2068,49
2072,49
2076,49
2080,43
2084,49
2088,49
2092,49
2096,43
2100,49
2104,49
2108,49
2112,43
2116,49
2120,49
2124,49
2128,43
2132,49
2136,49
2140,49
2144,43
2148,49
2152,49
2156,49
2160,43
2164,49
2168,49
2172,49
2176,43
2180,49
2184,49
2188,49
2192,43
2196,49
2200,49
2204,49
2208,43
2212,49
2216,49
2220,49
2224,43
2228,49
2232,49
2236,49
2240,43
2244,49
2248,49
2252,49
2256,43
2260,49
2264,49
2268,49
2272,43
2276,49
2280,49
2284,49
2288,43
2292,49
2296,49
2300,49
2304,43
2308,49
2312,49
2316,49
2320,43
2324,49
2328,49
2332,49
2336,43
2340,49
2344,49
2348,49
2352,43
2356,49
2360,49
2364,49
2368,43
2372,49
2376,49
2380,49
2384,43
2388,49
2392,49
2396,49
2400,43
2404,49
2408,49
2412,49
2416,43
2420,49
2424,49
2428,49
2432,43
2436,49
2440,49
2444,49
2448,43
2452,49
2456,49
2460,49
2464,43
2468,49
2472,49
2476,49
2480,43
2484,49
2488,49
2492,49
2496,43
2500,49
2504,49
2508,49
2512,43
2516,49
2520,49
2524,49
2528,43
2532,49
2536,49
2540,49
2544,43
2548,49
2552,49
2556,49
2560,43
2564,49
2568,49
2572,49
2576,43
2580,49
2584,49
2588,49
2592,43
2596,49
2600,49
2604,49
2608,43
2612,49
2616,49
2620,49
2624,43
2628,49
2632,49
2636,49
2640,43
2644,49
2648,49
2652,49
2656,43
2660,49
2664,49
2668,49
2672,43
2676,49
2680,49
2684,49
2688,43
2692,49
2696,49
2700,49
2704,43
2708,49
2712,49
2716,49
2720,43
2724,49
2728,49
2732,49
2736,43
2740,49
2744,49
2748,49
2752,43
2756,49
2760,49
2764,49
2768,43
2772,49
2776,49
2780,49
2784,43
2788,49
2792,49
2796,49
2800,43
2804,49
2808,49
2812,49
2816,43
2820,49
2824,49
2828,49
2832,43
2836,49
2840,49
2844,49
2848,43
2852,49
2856,49
2860,49
2864,43
2868,49
2872,49
2876,49
2880,43
2884,49
2888,49
2892,49
2896,43
2900,49
2904,49
2908,49
2912,43
2916,49
2920,49
2924,49
2928,43
2932,49
2936,49
2940,49
2944,43
2948,49
2952,49
2956,49
2960,43
2964,49
2968,49
2972,49
2976,43
2980,49
2984,49
2988,49
2992,43
2996,49
3000,49
3004,49
3008,43
3012,49
3016,49
3020,49
3024,43
3028,49
3032,49
3036,49
3040,43
3044,49
3048,49
3052,49
3056,43
3060,49
3064,49
3068,49
3072,43
3076,49
3080,49
3084,49
3088,43
3092,49
3096,49
3100,49
3104,43
3108,49
3112,49
3116,49
3120,43
3124,49
3128,49
3132,49
3136,43
3140,49
3144,49
3148,49
3152,43
3156,49
3160,49
3164,49
3168,43
3172,49
3176,49
3180,49
3184,43
3188,49
3192,49
3196,49
3200,43
3204,49
3208,49
3212,49
3216,43
3220,49
3224,49
3228,49
3232,43
3236,49
3240,49
3244,49
3248,43
3252,49
3256,49
3260,49
3264,43
3268,49
3272,49
3276,49
3280,43
3284,49
3288,49
3292,49
3296,43
3300,49
3304,49
3308,49
3312,43
3316,49
3320,49
3324,49
3328,43
3332,49
3336,49
3340,49
3344,43
3348,49
3352,49
3356,49
3360,43
3364,49
3368,49
3372,49
3376,43
3380,49
3384,49
3388,49
3392,43
3396,49
3400,49
3404,49
3408,43
3412,49
3416,49
3420,49
3424,43
3428,49
3432,49
3436,49
3440,43
3444,49
3448,49
3452,49
3456,43
3460,49
3464,49
3468,49
3472,43
3476,49
3480,49
3484,49
3488,43
3492,49
3496,49
3500,49
3504,43
3508,49
3512,49
3516,49
3520,43
3524,49
3528,49
3532,49
3536,43
3540,49
3544,49
3548,49
3552,43
3556,49
3560,49
3564,49
3568,43
3572,49
3576,49
3580,49
3584,43
3588,49
3592,49
3596,49
3600,43
3604,49
3608,49
3612,49
3616,43
3620,49
3624,49
3628,49
3632,43
3636,49
3640,49
3644,49
3648,43
3652,49
3656,49
3660,49
3664,43
3668,49
3672,49
3676,49
3680,43
3684,49
3688,49
3692,49
3696,43
3700,49
3704,49
3708,49
3712,43
3716,49
3720,49
3724,49
3728,43
3732,49
3736,49
3740,49
3744,43
3748,49
3752,49
3756,49
3760,43
3764,49
3768,49
3772,49
3776,43
3780,49
3784,49
3788,49
3792,43
3796,49
3800,49
3804,49
3808,43
3812,49
3816,49
3820,49
3824,43
3828,49
3832,49
3836,49
3840,43
3844,49
3848,49
3852,49
3856,43
3860,49
3864,49
3868,49
3872,43
3876,49
3880,49
3884,49
3888,43
3892,49
3896,49
3900,49
3904,43
3908,49
3912,49
3916,49
3920,43
3924,49
3928,49
3932,49
3936,43
3940,49
3944,49
3948,49
3952,43
3956,49
3960,49
3964,49
3968,43
3972,49
3976,49
3980,49
3984,43
3988,49
3992,49
3996,49
4000,43
4004,49
4008,49
4012,49
4016,43
4020,49
4024,49
4028,49
4032,43
4036,49
4040,49
4044,49
4048,43
4052,49
4056,49
4060,49
4064,43
4068,49
4072,49
4076,49
4080,43
4084,49
4088,49
4092,49
4096,43
4100,49
4104,49
4108,49
4112,43
4116,49
4120,49
4124,49
4128,43
4132,49
4136,49
4140,49
4144,43
4148,49
4152,49
4156,49
4160,43
4164,49
4168,49
4172,49
4176,43
4180,49
4184,49
4188,49
4192,43
4196,49
4200,49
4204,49
4208,43
4212,49
4216,49
4220,49
4224,43
4228,49
4232,49
4236,49
4240,43
4244,49
4248,49
4252,49
4256,43
4260,49
4264,49
4268,49
4272,43
4276,49
4280,49
4284,49
4288,43
4292,49
4296,49
4300,49
4304,43
4308,49
4312,49
4316,49
4320,43
4324,49
4328,49
4332,49
4336,43
4340,49
4344,49
4348,49
4352,43
4356,49
4360,49
4364,49
4368,43
4372,49
4376,49
4380,49
4384,43
4388,49
4392,49
4396,49
4400,43
4404,49
4408,49
4412,49
4416,43
4420,49
4424,49
4428,49
4432,43
4436,49
4440,49
4444,49
4448,43
4452,49
4456,49
4460,49
4464,43
4468,49
4472,49
4476,49
4480,43
4484,49
4488,49
4492,49
4496,43
4500,49
4504,49
4508,49
4512,43
4516,49
4520,49
4524,49
4528,43
4532,49
4536,49
4540,49
4544,43
4548,49
4552,49
4556,49
4560,43
4564,49
4568,49
4572,49
4576,43
4580,49
4584,49
4588,49
4592,43
4596,49
4600,49
4604,49
4608,43
4612,49
4616,49
4620,49
4624,43
4628,49
4632,49
4636,49
4640,43
4644,49
4648,49
4652,49
4656,43
4660,49
4664,49
4668,49
4672,43
4676,49
4680,49
4684,49
4688,43
4692,49
4696,49
4700,49
4704,43
4708,49
4712,49
4716,49
4720,43
4724,49
4728,49
4732,49
4736,43
4740,49
4744,49
4748,49
4752,43
4756,49
4760,49
4764,49
4768,43
4772,49
4776,49
4780,49
4784,43
4788,49
4792,49
4796,49
4800,43
4804,49
4808,49
4812,49
4816,43
4820,49
4824,49
4828,49
4832,43
4836,49
4840,49
4844,49
4848,43
4852,49
4856,49
4860,49
4864,43
4868,49
4872,49
4876,49
4880,43
4884,49
4888,49
4892,49
4896,43
4900,49
4904,49
4908,49
4912,43
4916,49
4920,49
4924,49
4928,43
4932,49
4936,49
4940,49
4944,43
4948,49
4952,49
4956,49
4960,43
4964,49
4968,49
4972,49
4976,43
4980,49
4984,49
4988,49
4992,43
4996,49
5000,49
5004,49
5008,43
5012,49
5016,49
5020,49
5024,43
5028,49
5032,49
5036,49
5040,43
5044,49
5048,49
5052,49
5056,43
5060,49
5064,49
5068,49
5072,43
5076,49
5080,49
5084,49
5088,43
5092,49
5096,49
5100,49
5104,43
5108,49
5112,49
5116,49
5120,43
5124,49
5128,49
5132,49
5136,43
5140,49
5144,49
5148,49
5152,43
5156,49
5160,49
5164,49
5168,43
5172,49
5176,49
5180,49
5184,43
5188,49
5192,49
5196,49
5200,43
5204,49
5208,49
5212,49
5216,43
5220,49
5224,49
5228,49
5232,43
5236,49
5240,49
5244,49
5248,43
5252,49
5256,49
5260,49
5264,43
5268,49
5272,49
5276,49
5280,43
5284,49
5288,49
5292,49
5296,43
5300,49
5304,49
5308,49
5312,43
5316,49
5320,49
5324,49
5328,43
5332,49
5336,49
5340,49
5344,43
5348,49
5352,49
5356,49
5360,43
5364,49
5368,49
5372,49
5376,43
5380,49
5384,49
5388,49
5392,43
5396,49
5400,49
5404,49
5408,43
5412,49
5416,49
5420,49
5424,43
5428,49
5432,49
5436,49
5440,43
5444,49
5448,49
5452,49
5456,43
5460,49
5464,49
5468,49
5472,43
5476,49
5480,49
5484,49
5488,43
5492,49
5496,49
5500,49
5504,43
5508,49
5512,49
5516,49
5520,43
5524,49
5528,49
5532,49
5536,43
5540,49
5544,49
5548,49
5552,43
5556,49
5560,49
5564,49
5568,43
5572,49
5576,49
5580,49
5584,43
5588,49
5592,49
5596,49
5600,43
5604,49
5608,49
5612,49
5616,43
5620,49
5624,49
5628,49
5632,43
5636,49
5640,49
5644,49
5648,43
5652,49
5656,49
5660,49
5664,43
5668,49
5672,49
5676,49
5680,43
5684,49
5688,49
5692,49
5696,43
5700,49
5704,49
5708,49
5712,43
5716,49
5720,49
5724,49
5728,43
5732,49
5736,49
5740,49
5744,43
5748,49
5752,49
5756,49
5760,43
5764,49
5768,49
5772,49
5776,43
5780,49
5784,49
5788,49
5792,43
5796,49
5800,49
5804,49
5808,43
5812,49
5816,49
5820,49
5824,43
5828,49
5832,49
5836,49
5840,43
5844,49
5848,49
5852,49
5856,43
5860,49
5864,49
5868,49
5872,43
5876,49
5880,49
5884,49
5888,43
5892,49
5896,49
5900,49
5904,43
5908,49
5912,49
5916,49
5920,43
5924,49
5928,49
5932,49
5936,43
5940,49
5944,49
5948,49
5952,43
5956,49
5960,49
5964,49
5968,43
5972,49
5976,49
5980,49
5984,43
5988,49
5992,49
5996,49
6000,43
6004,49
6008,49
6012,49
6016,43
6020,49
6024,49
6028,49
6032,43
6036,49
6040,49
6044,49
6048,43
6052,49
6056,49
6060,49
6064,43
6068,49
6072,49
6076,49
6080,43
6084,49
6088,49
6092,49
6096,43
6100,49
6104,49
6108,49
6112,43
6116,49
6120,49
6124,49
6128,43
6132,49
6136,49
6140,49
6144,43
6148,49
6152,49
6156,49
6160,43
6164,49
6168,49
6172,49
6176,43
6180,49
6184,49
6188,49
6192,43
6196,49
6200,49
6204,49
6208,43
6212,49
6216,49
6220,49
6224,43
6228,49
6232,49
6236,49
6240,43
6244,49
6248,49
6252,49
6256,43
6260,49
6264,49
6268,49
6272,43
6276,49
6280,49
6284,49
6288,43
6292,49
6296,49
6300,49
6304,43
6308,49
6312,49
6316,49
6320,43
6324,49
6328,49
6332,49
6336,43
6340,49
6344,49
6348,49
6352,43
6356,49
6360,49
6364,49
6368,43
6372,49
6376,49
6380,49
6384,43
6388,49
6392,49
6396,49
6400,43
6404,49
6408,49
6412,49
6416,43
6420,49
6424,49
6428,49
6432,43
6436,49
6440,49
6444,49
6448,43
6452,49
6456,49
6460,49
6464,43
6468,49
6472,49
6476,49
6480,43
6484,49
6488,49
6492,49
6496,43
6500,49
6504,49
6508,49
6512,43
6516,49
6520,49
6524,49
6528,43
6532,49
6536,49
6540,49
6544,43
6548,49
6552,49
6556,49
6560,43
6564,49
6568,49
6572,49
6576,43
6580,49
6584,49
6588,49
6592,43
6596,49
6600,49
6604,49
6608,43
6612,49
6616,49
6620,49
6624,43
6628,49
6632,49
6636,49
6640,43
6644,49
6648,49
6652,49
6656,43
6660,49
6664,49
6668,49
6672,43
6676,49
6680,49
6684,49
6688,43
6692,49
6696,49
6700,49
6704,43
6708,49
6712,49
6716,49
6720,43
6724,49
6728,49
6732,49
6736,43
6740,49
6744,49
6748,49
6752,43
6756,49
6760,49
6764,49
6768,43
6772,49
6776,49
6780,49
6784,43
6788,49
6792,49
6796,49
6800,43
6804,49
6808,49
6812,49
6816,43
6820,49
6824,49
6828,49
6832,43
6836,49
6840,49
6844,49
6848,43
6852,49
6856,49
6860,49
6864,43
6868,49
6872,49
6876,49
6880,43
6884,49
6888,49
6892,49
6896,43
6900,49
6904,49
6908,49
6912,43
6916,49
6920,49
6924,49
6928,43
6932,49
6936,49
6940,49
6944,43
6948,49
6952,49
6956,49
6960,43
6964,49
6968,49
6972,49
6976,43
6980,49
6984,49
6988,49
6992,43
6996,49
7000,49
7004,49
7008,43
7012,49
7016,49
7020,49
7024,43
7028,49
7032,49
7036,49
7040,43
7044,49
7048,49
7052,49
7056,43
7060,49
7064,49
7068,49
7072,43
7076,49
7080,49
7084,49
7088,43
7092,49
7096,49
7100,49
7104,43
7108,49
7112,49
7116,49
7120,43
7124,49
7128,49
7132,49
7136,43
7140,49
7144,49
7148,49
7152,43
7156,49
7160,49
7164,49
7168,43
7172,49
7176,49
7180,49
7184,43
7188,49
7192,49
7196,49
7200,43
7204,49
7208,49
7212,49
7216,43
7220,49
7224,49
7228,49
7232,43
7236,49
7240,49
7244,49
7248,43
7252,49
7256,49
7260,49
7264,43
7268,49
7272,49
7276,49
7280,43
7284,49
7288,49
7292,49
7296,43
7300,49
7304,49
7308,49
7312,43
7316,49
7320,49
7324,49
7328,43
7332,49
7336,49
7340,49
7344,43
7348,49
7352,49
7356,49
7360,43
7364,49
7368,49
7372,49
7376,43
7380,49
7384,49
7388,49
7392,43
7396,49
7400,49
7404,49
7408,43
7412,49
7416,49
7420,49
7424,43
7428,49
7432,49
7436,49
7440,43
7444,49
7448,49
7452,49
7456,43
7460,49
7464,49
7468,49
7472,43
7476,49
7480,49
7484,49
7488,43
7492,49
7496,49
7500,49
7504,43
7508,49
7512,49
7516,49
7520,43
7524,49
7528,49
7532,49
7536,43
7540,49
7544,49
7548,49
7552,43
7556,49
7560,49
7564,49
7568,43
7572,49
7576,49
7580,49
7584,43
7588,49
7592,49
7596,49
7600,43
7604,49
7608,49
7612,49
7616,43
7620,49
7624,49
7628,49
7632,43
7636,49
7640,49
7644,49
7648,43
7652,49
7656,49
7660,49
7664,43
7668,49
7672,49
7676,49
7680,43
7684,49
7688,49
7692,49
7696,43
7700,49
7704,49
7708,49
7712,43
7716,49
7720,49
7724,49
7728,43
7732,49
7736,49
7740,49
7744,43
7748,49
7752,49
7756,49
7760,43
7764,49
7768,49
7772,49
7776,43
7780,49
7784,49
7788,49
7792,43
7796,49
7800,49
7804,49
7808,43
7812,49
7816,49
7820,49
7824,43
7828,49
7832,49
7836,49
7840,43
7844,49
7848,49
7852,49
7856,43
7860,49
7864,49
7868,49
7872,43
7876,49
7880,49
7884,49
7888,43
7892,49
7896,49
7900,49
7904,43
7908,49
7912,49
7916,49
7920,43
7924,49
7928,49
7932,49
7936,43
7940,49
7944,49
7948,49
7952,43
7956,49
7960,49
7964,49
7968,43
7972,49
7976,49
7980,49
7984,43
7988,49
7992,49
7996,49
8000,43
8004,49
8008,49
8012,49
8016,43
8020,49
8024,49
8028,49
8032,43
8036,49
8040,49
8044,49
8048,43
8052,49
8056,49
8060,49
8064,43
8068,49
8072,49
8076,49
8080,43
8084,49
8088,49
8092,49
8096,43
8100,49
8104,49
8108,49
8112,43
8116,49
8120,49
8124,49
8128,43
8132,49
8136,49
8140,49
8144,43
8148,49
8152,49
8156,49
8160,43
8164,49
8168,49
8172,49
8176,43
8180,49
8184,49
8188,49
